representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_last,23,minute,shuffled_labels,480,-0.2385646419444437,88.07039633855844,0.08541666666666667
hidden_last,24,minute,shuffled_labels,480,-0.22089323353264312,83.71866805559645,0.07291666666666667
hidden_last,25,minute,shuffled_labels,480,-0.2309713138247128,85.21329626577595,0.08958333333333333
hidden_last,26,minute,shuffled_labels,480,-0.2555865430314609,87.19505907210211,0.09375
hidden_last,27,minute,shuffled_labels,480,-0.2448165841594444,87.57032505931953,0.09166666666666666
hidden_last,28,minute,shuffled_labels,480,-0.23062484427073326,87.33658856269128,0.08333333333333333
hidden_last,29,minute,shuffled_labels,480,-0.2440408137172978,89.00673198001459,0.07083333333333333
hidden_last,30,minute,shuffled_labels,480,-0.27580074983922587,91.13529987645646,0.075
hidden_last,31,minute,shuffled_labels,480,-0.2819056297928598,91.28479162409592,0.07708333333333334
hidden_last,32,minute,shuffled_labels,480,-0.22344069470386563,88.79194788075984,0.06458333333333334
hidden_last,33,minute,shuffled_labels,480,-0.2015762152136057,88.51395481303334,0.07291666666666667
hidden_last,34,minute,shuffled_labels,480,-0.1826290874773655,85.9069363179927,0.08541666666666667
hidden_last,35,minute,shuffled_labels,480,-0.1927802359638895,85.76761168520898,0.08125
hidden_last,36,minute,shuffled_labels,480,-0.17619335051333063,85.19060109214236,0.0875
hidden_last,0,hour,shuffled_labels,480,-0.009013547185373172,91.36100651423136,0.08125
hidden_last,1,hour,shuffled_labels,480,-0.3645718987008991,91.42506808464726,0.09375
hidden_last,2,hour,shuffled_labels,480,-0.3537918110130316,92.64356291554869,0.09166666666666666
hidden_last,3,hour,shuffled_labels,480,-0.3843474114562959,93.393395735727,0.08958333333333333
hidden_last,4,hour,shuffled_labels,480,-0.34452011200072596,91.83868000513563,0.0875
hidden_last,5,hour,shuffled_labels,480,-0.3551437318097975,91.48399717472493,0.09166666666666666
hidden_last,6,hour,shuffled_labels,480,-0.3486682258909727,91.12596027155718,0.09166666666666666
hidden_last,7,hour,shuffled_labels,480,-0.33155853861605966,90.38199503868819,0.08125
hidden_last,8,hour,shuffled_labels,480,-0.3428177003239542,92.98658875847856,0.08333333333333333
hidden_last,9,hour,shuffled_labels,480,-0.3585200974533884,92.07319736345671,0.09583333333333334
