representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_meanpool,28,minute,all,480,0.958138564194164,6.226756752779087,0.975
hidden_meanpool,28,minute,correct,12,-2.5979779065097056e+30,6.092596193154653,1.0
hidden_meanpool,28,minute,wrong,468,0.9583790142523169,6.230196767128432,0.9743589743589743
hidden_meanpool,29,minute,all,480,0.9569676553048403,6.556372247667363,0.96875
hidden_meanpool,29,minute,correct,12,-3.875019314667776e+30,7.611181527376175,1.0
hidden_meanpool,29,minute,wrong,468,0.9573787720177771,6.529325855879957,0.967948717948718
hidden_meanpool,30,minute,all,480,0.9528385446074084,6.902622011179726,0.9625
hidden_meanpool,30,minute,correct,12,-2.6456850521965026e+30,6.253763457139333,1.0
hidden_meanpool,30,minute,wrong,468,0.9531122063667101,6.919259410001274,0.9615384615384616
hidden_meanpool,31,minute,all,480,0.9528786905726674,6.8636916747316725,0.9583333333333334
hidden_meanpool,31,minute,correct,12,-2.9006665957119874e+30,6.642464761932691,1.0
hidden_meanpool,31,minute,wrong,468,0.9530543736134514,6.869364159675237,0.9572649572649573
hidden_meanpool,32,minute,all,480,0.946721713073724,7.335353157871093,0.9541666666666667
hidden_meanpool,32,minute,correct,12,-2.3432863478473162e+30,5.816388775904973,1.0
hidden_meanpool,32,minute,wrong,468,0.9464775785715512,7.37430096253689,0.9529914529914529
hidden_meanpool,33,minute,all,480,0.9458040563288039,7.4650143411010506,0.95
hidden_meanpool,33,minute,correct,12,-3.2331804731356316e+30,6.174888342618942,1.0
hidden_meanpool,33,minute,wrong,468,0.9456952880549618,7.498094494908284,0.9487179487179487
hidden_meanpool,34,minute,all,480,0.9437777223301027,7.652936377997199,0.9541666666666667
hidden_meanpool,34,minute,correct,12,-4.1133507004021186e+30,7.311767811576526,1.0
